"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"352582774554767362","","","2013-07-04 00:20:58 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","""Why mobile payments will never take off [in the US]"" - Felix Salmon on payments in the US vs E Africa; interesting - http://t.co/naKuKlj7zT","","","","http://blogs.reuters.com/felix-salmon/2013/07/03/why-mobile-payments-will-never-take-off/"
"351886280931545092","","","2013-07-02 02:13:21 +0000","web","RT @fenixintl: Help #PowerAfrica now through the #buy1fund1 campaign! Click to buy your ReadySet and help provide Power for All http://t.co…","351848051062751232","174564305","2013-07-01 23:41:27 +0000","http://bit.ly/13ckzyi,http://bit.ly/13ckzyi"
"351886024433078274","","","2013-07-02 02:12:20 +0000","web","Nice op-ed by Chris Field @Stanford: http://t.co/wCoywtEvK6","","","","http://www.cnn.com/2013/06/28/opinion/field-obama-climate-change/index.html?eref=mrss_igoogle_cnn"
"351059112446001153","","","2013-06-29 19:26:29 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @echoinggreen: .@VikramAkula @SKSMicrofinance &amp; @AngazaDesign share their #innovations for economic development: http://t.co/EnJUdw4hQ0 …","351053117908979713","14886176","2013-06-29 19:02:40 +0000","http://ht.ly/muscz,http://ht.ly/muscz"
"350678097957355520","","","2013-06-28 18:12:28 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @echoinggreen: Our #summerfridays video series kicks-off today! Today features @VikramAkula &amp; @AngazaDesign: http://t.co/PvIav48Zz7 #soc…","350669597487276032","14886176","2013-06-28 17:38:41 +0000","http://ht.ly/mu5Cj,http://ht.ly/mu5Cj"
"350677858034794496","","","2013-06-28 18:11:31 +0000","web","Excited about @fenixintl Power for All BOGO campaign https://t.co/MGW5eMRj6S. Give the gift of #energy financing! @PeterJGlenn","","","","https://fenixintl.com/"
"350050357797339136","","","2013-06-27 00:38:03 +0000","web","We're fundraising to fuel our rapid growth! Follow us https://t.co/MbALvVBtEw @angellist","","","","https://angel.co/angaza-design"
"349911588272222208","","","2013-06-26 15:26:38 +0000","web","RT @Mbwana: Nice @angazadesign mention at @PivotEast from CGAP","349867760383303681","14947636","2013-06-26 12:32:28 +0000",""
"349911300547166209","","","2013-06-26 15:25:29 +0000","web","RT @zia505: Checking out Pay-As-You-Go solution to distributors of “pico-scale” energy products http://t.co/MRrjt5GaM6 @angazadesign @VC4Af…","349784737818230785","16347108","2013-06-26 07:02:34 +0000","http://vc4afri.ca/nr7bb,http://vc4afri.ca/nr7bb"
"349703968752017408","","","2013-06-26 01:41:37 +0000","web","We're hiring engineers...referrals and applicants needed! Find out more: http://t.co/2MpUfiIfZ3","","","","http://www.angazadesign.com/contact-us/"
